date,site_id,point_id,obs_id,obs_no,latitude,longitude,datum,species,unconfirmed_species,unconfirmed_id,diagnostic_material,life_stage,cbh_m,dbh_m,new_tip_growth,epicormic_growth,leaf_dieoff,reproductive_behaviour,mistletoe_load,insect_damage,alive,fallen,recent_fire_evidence,forked_at_ground_level,forked_below_ground_level,visibility,notes,,
26/06/25,MCP,MCP_1,MCP-1-27,438,-34.470711,150.77652,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2-,0.37,0.118,1,0,1,0,0,1,T,F,F,F,T,"sun, windy",forked below ground level; DBH value is thicker fork,,
26/06/25,MCP,MCP_1,MCP-1-28,439,-34.470754,150.776533,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,1.4,0.446,2,2,2,0,0,N/A,T,F,F,F,F,"sun, windy",nesting box BA22,,
26/06/25,MCP,MCP_1,MCP-1-29,440,-34.470732,150.776544,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,1.35,0.430,1,1,1,0,0,N/A,T,F,F,F,F,"sun, windy",,,
26/06/25,MCP,MCP_1,MCP-1-30,441,-34.470525,150.776492,WGS84,N/A,N/A,F,Leaves on tree,2,1.02,0.325,N/A,N/A,N/A,N/A,N/A,N/A,F,F,F,F,F,"sun, windy",dead,,
26/06/25,MCP,MCP_1,MCP-1-31,442,-34.470534,150.776484,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,1.13,0.360,1,0,0,0,0,N/A,T,F,F,F,F,"sun, windy",weirdly short for its DBH,,
26/06/25,MCP,MCP_1,MCP-1-32,443,-34.470518,150.77652,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,1.65,0.525,1,0,2,0,0,N/A,T,F,F,F,F,"sun, windy","nesting boxes PA25, BH31 (or BA31)",,
26/06/25,MCP,MCP_1,MCP-1-33,444,-34.470535,150.776565,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,1.35,0.430,2,1,1,0,0,N/A,T,F,F,F,F,"sun, windy",,,
26/06/25,MCP,MCP_1,MCP-1-34,445,-34.470546,150.776617,WGS84,N/A,N/A,F,Leaves on tree,2,N/A,0.400,N/A,N/A,N/A,N/A,N/A,N/A,F,T,F,F,F,"sun, windy","dead, fallen",,
26/06/25,MCP,MCP_1,MCP-1-35,446,-34.470557,150.776647,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,0.65,0.207,1,1,1,0,0,N/A,T,F,F,F,F,"sun, windy",,,
26/06/25,MCP,MCP_1,MCP-1-36,447,-34.470559,150.776666,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,0.97,0.309,1,2,2,0,0,N/A,T,F,F,F,F,"sun, windy",nesting box HO15,,
26/06/25,MCP,MCP_1,MCP-1-37,448,-34.47049,150.776688,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,1.14,0.363,1,1,1,0,0,N/A,T,F,F,F,F,"sun, windy",,,
26/06/25,MCP,MCP_1,MCP-1-38,449,-34.470493,150.776688,WGS84,N/A,N/A,F,Leaves on tree,1,0.08,0.025,0,0,0,0,0,1,T,F,F,F,F,"sun, windy",bark badly scraped; maybe regrowth from a stump and is the same tree as MCP-1-39,,
26/06/25,MCP,MCP_1,MCP-1-39,450,-34.470491,150.776702,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",1+,0.18,0.057,1,0,1,0,0,N/A,T,F,F,F,F,"sun, windy",maybe regrowth from a stump and is the same tree as MCP-1-38,,
26/06/25,MCP,MCP_1,MCP-1-40,451,-34.47049,150.776666,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2-,0.77,0.245,1,1,1,0,0,N/A,T,F,F,F,F,"sun, windy",,,
26/06/25,MCP,MCP_1,MCP-1-41,452,-34.470424,150.776628,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",3,1.7,0.541,2,1,1,0,0,N/A,T,F,F,F,F,"sun, windy",nesting box BH20,,
26/06/25,MCP,MCP_1,MCP-1-42,453,-34.470406,150.776636,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2-,1.43,0.455,1,0,0,0,0,1,T,F,F,T,F,"sun, windy",forked at ground level; regrowth from stump,,
26/06/25,MCP,MCP_1,MCP-1-43,454,-34.470425,150.776625,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,1.03,0.328,1,2,1,0,0,N/A,T,F,F,F,F,"sun, windy",,,
26/06/25,MCP,MCP_1,MCP-1-44,455,-34.470464,150.776717,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,1.4,0.446,1,1,1,0,0,N/A,T,F,F,F,F,"sun, windy",,,
26/06/25,MCP,MCP_1,MCP-1-45,456,-34.470443,150.776788,WGS84,N/A,N/A,F,Leaves on tree,1,N/A,0.015,2,0,0,0,0,1,T,F,F,F,F,"sun, windy",,,
26/06/25,MCP,MCP_1,MCP-1-46,457,-34.470477,150.776739,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,1.45,0.462,1,0,1,0,0,N/A,T,F,F,F,F,"sun, windy",,,
26/06/25,MCP,MCP_1,MCP-1-47,458,-34.470548,150.776903,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,1.42,0.452,1,1,1,0,0,N/A,T,F,F,F,F,"sun, windy",,,
26/06/25,MCP,MCP_1,MCP-1-48,459,-34.470628,150.776884,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,0.67,0.213,1,2,2,0,0,N/A,T,F,F,F,F,"sun, windy",,,
26/06/25,MCP,MCP_1,MCP-1-49,460,-34.470602,150.776845,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,1.69,0.538,1,1,1,0,0,N/A,T,F,F,F,F,"sun, windy",nesting box PA30,,
26/06/25,MCP,MCP_1,MCP-1-50,461,-34.470624,150.776819,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,1.01,0.321,1,0,1,0,0,N/A,T,F,F,F,F,"sun, windy",,,
26/06/25,MCP,MCP_1,MCP-1-51,462,-34.470634,150.776832,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",3,1.9,0.605,2,1,1,0,0,N/A,T,F,F,F,F,"sun, windy",nesting box PA17,,
30/06/25,ALR,ALR_6,ALR-6-1,463,-34.567172,150.792322,WGS84,Angophora floribunda,Angophora floribunda,F,"Bark, habit",2-,0.57,0.181,2,2,2,0,0,N/A,T,F,T,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-2,464,-34.567203,150.792263,WGS84,Eucalyptus globoidea,Eucalyptus globoidea,F,"Bark, habit, leaves on tree",1,0.18,0.057,2,2,1,0,0,1,T,F,T,F,F,cloud,top of crown dead,,
30/06/25,ALR,ALR_6,ALR-6-3,465,-34.5672,150.792267,WGS84,N/A,N/A,F,Leaves on tree,1,0.1,0.032,3,3,3,0,0,2,T,F,T,F,F,cloud,prob longifolia; crown dead; epicormic regrowth 0.8m up,,
30/06/25,ALR,ALR_6,ALR-6-4,466,-34.56719,150.792272,WGS84,N/A,N/A,F,N/A,1,0.09,0.029,2,1,3,0,0,1,T,F,T,F,F,cloud,died off; epicormic regrowth near base,,
30/06/25,ALR,ALR_6,ALR-6-5,467,-34.567206,150.792259,WGS84,Angophora floribunda,Angophora floribunda,F,"Bark, habit",2-,0.52,0.166,2,3,2,0,0,N/A,T,F,T,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-6,468,-34.567257,150.792217,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,"Bark, habit",2,1.46,0.465,3,2,1,0,0,N/A,T,F,T,T,F,cloud,3-forked at ground level,,
30/06/25,ALR,ALR_6,ALR-6-7,469,-34.567201,150.792182,WGS84,Angophora floribunda,Angophora floribunda,F,"Bark, habit, leaves on tree",1+,0.2,0.064,1,3,2,0,0,1,T,F,T,F,F,cloud,crown died off; epicormic regrowth near base,,
30/06/25,ALR,ALR_6,ALR-6-8,470,-34.567186,150.792222,WGS84,Eucalyptus globoidea,Eucalyptus globoidea,F,"Bark, habit, leaves on tree",1,0.16,0.051,2,2,2,0,0,1,T,F,T,F,F,cloud,crown dead; epicormic regrowth at various points,,
30/06/25,ALR,ALR_6,ALR-6-9,471,-34.567185,150.792192,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,"Bark, habit",3,2.3,0.732,3,2,2,1,0,N/A,T,F,T,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-10,472,-34.567151,150.792106,WGS84,Angophora floribunda,Angophora floribunda,F,"Bark, habit, leaves on tree",2-,0.32,0.102,1,3,2,0,0,1,T,F,T,F,F,cloud,crown dead (long-dead); epicormic regrowth,,
30/06/25,ALR,ALR_6,ALR-6-11,473,-34.56715,150.792096,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,"Bark, habit",2-,0.46,0.146,N/A,1,3,N/A,N/A,N/A,F,F,T,F,F,cloud,dead; relatively recently dead epicormic regrowth near base,,
30/06/25,ALR,ALR_6,ALR-6-12,474,-34.567184,150.792069,WGS84,Angophora floribunda,Angophora floribunda,F,"Bark, habit, leaves on tree",2-,0.5,0.159,1,2,2,0,0,N/A,T,F,T,F,F,cloud,some crown dieoff,,
30/06/25,ALR,ALR_6,ALR-6-13,475,-34.56729,150.792035,WGS84,Eucalyptus globoidea,Eucalyptus globoidea,F,"Bark, habit, fruit on tree",3,1.52,0.484,3,1,2,2,0,N/A,T,F,T,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-14,476,-34.5673,150.792113,WGS84,Angophora floribunda,Angophora floribunda,F,"Bark, habit",2,1.05,0.334,1,2,2,0,0,N/A,T,F,T,T,F,cloud,forked at ground level,,
30/06/25,ALR,ALR_6,ALR-6-15,477,-34.567319,150.79214,WGS84,Eucalyptus eugenioides or globoidea,Eucalyptus eugenioides or globoidea,F,"Bark, habit",2-,0.39,0.124,N/A,N/A,3,N/A,N/A,N/A,F,F,T,F,F,cloud,dead,,
30/06/25,ALR,ALR_6,ALR-6-16,478,-34.567319,150.792148,WGS84,Eucalyptus globoidea,Eucalyptus globoidea,F,"Bark, habit, fruit on tree, leaves on tree",2,0.88,0.280,2,3,3,1,0,N/A,T,F,T,F,F,cloud,fully died off; epicormic regrowth; fruit only present on dead branhces,,
30/06/25,ALR,ALR_6,ALR-6-17,479,-34.567348,150.7922,WGS84,Eucalyptus globoidea,Eucalyptus globoidea,F,"Bark, habit, fruit on tree, leaves on tree",2,1.12,0.357,2,2,2,2,0,N/A,T,F,T,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-18,480,-34.567314,150.792213,WGS84,Eucalyptus eugenioides or globoidea,Eucalyptus eugenioides or globoidea,F,"Bark, habit",2-,0.34,0.108,N/A,N/A,N/A,N/A,N/A,N/A,F,F,T,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-19,481,-34.567311,150.792207,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,"Bark, habit",2,1.26,0.401,3,1,1,0,0,N/A,T,F,T,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-20,482,-34.567301,150.792262,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,"Bark, habit",2,1.6,0.509,2,1,1,1,0,N/A,T,F,T,T,F,cloud,forked at ground level,,
30/06/25,ALR,ALR_6,ALR-6-21,483,-34.567324,150.792289,WGS84,Eucalyptus eugenioides or globoidea,Eucalyptus eugenioides or globoidea,F,"Bark, habit",2,1.19,0.379,N/A,N/A,N/A,0,N/A,N/A,F,F,T,F,F,cloud,relatively unscorched; dead,,
30/06/25,ALR,ALR_6,ALR-6-22,484,-34.5673,150.7923,WGS84,N/A,N/A,F,N/A,1,N/A,0.020,3,2,1,0,0,1,T,F,T,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-23,485,-34.567296,150.792301,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,"Bark, habit",2,1.26,0.401,2,1,1,0,0,N/A,T,F,T,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-24,486,-34.567269,150.792322,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,"Bark, habit",3,1.45,0.462,2,2,2,1,0,N/A,T,F,T,F,F,cloud,relatively unscorched,,
30/06/25,ALR,ALR_6,ALR-6-25,487,-34.567247,150.792264,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,"Bark, habit",2,1.36,0.433,2,2,2,1,0,N/A,T,F,T,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-26,488,-34.567227,150.792338,WGS84,Eucalyptus globoidea,Eucalyptus globoidea,F,Leaves on tree,1,N/A,0.010,2,2,2,0,0,1,T,F,T,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-27,489,-34.567223,150.79236,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,"Bark, habit",2,0.84,0.267,3,2,1,1,0,N/A,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-28,490,-34.567312,150.792449,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,"Bark, habit",3,2.28,0.726,2,2,2,1,0,N/A,T,F,F,F,F,cloud,3-forked,,
30/06/25,ALR,ALR_6,ALR-6-29,491,-34.56713,150.792356,WGS84,Angophora floribunda,Angophora floribunda,F,"Bark, habit, leaves on tree",1+,0.29,0.092,1,0,2,0,0,N/A,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-30,492,-34.56713,150.79235,WGS84,Angophora floribunda,Angophora floribunda,F,"Bark, habit, leaves on tree",1,0.19,0.060,1,1,3,0,0,2,T,F,F,F,F,cloud,crown dead; epicormic regrowth,,
30/06/25,ALR,ALR_6,ALR-6-31,493,-34.567097,150.792382,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,"Bark, habit, fruit on tree",1+,0.19,0.060,2,3,3,1,0,2,T,F,F,F,F,cloud,crown dead; epicormic regrowth; fruit in dead crown,,
30/06/25,ALR,ALR_6,ALR-6-32,494,-34.567076,150.792377,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,"Bark, habit",1+,0.21,0.067,1,1,1,0,0,1,T,F,F,F,F,cloud,dead fork,,
30/06/25,ALR,ALR_6,ALR-6-33,495,-34.567054,150.792438,WGS84,Eucalyptus globoidea,Eucalyptus globoidea,F,"Bark, habit, fruit on tree",2,1,0.318,3,1,1,3,0,N/A,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-34,496,-34.567026,150.79242,WGS84,Eucalyptus globoidea,Eucalyptus globoidea,F,"Bark, habit, fruit on tree",2,0.76,0.242,2,2,1,3,0,N/A,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-35,497,-34.567015,150.792412,WGS84,N/A,Eucalyptus longifolia,T,"Bark, habit",1,0.08,0.025,2,1,1,0,0,1,T,F,F,F,F,cloud,prob. longifolia,,
30/06/25,ALR,ALR_6,ALR-6-36,498,-34.567017,150.792398,WGS84,Angophora floribunda,Angophora floribunda,F,Leaves on tree,1,0.15,0.048,1,0,3,0,0,1,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-37,499,-34.567015,150.792374,WGS84,Angophora floribunda,Angophora floribunda,F,Leaves on tree,1,N/A,0.010,1,0,0,0,0,0,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-38,500,-34.566981,150.792335,WGS84,Eucalyptus globoidea,Eucalyptus globoidea,F,"Bark, habit, leaves on tree",3,1.32,0.420,2,2,1,3,0,N/A,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-39,501,-34.567048,150.792283,WGS84,Eucalyptus eugenioides or globoidea,Eucalyptus eugenioides or globoidea,F,"Bark, habit",2,0.57,0.181,N/A,N/A,N/A,N/A,N/A,N/A,F,F,F,F,F,cloud,dead,,
30/06/25,ALR,ALR_6,ALR-6-40,502,-34.56704,150.79227,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,"Bark, habit",2,0.99,0.315,N/A,N/A,3,N/A,N/A,N/A,F,F,F,F,F,cloud,recently dead,,
30/06/25,ALR,ALR_6,ALR-6-41,503,-34.567012,150.792239,WGS84,Eucalyptus eugenioides or globoidea,Eucalyptus eugenioides or globoidea,F,"Bark, habit",2,1.5,0.477,N/A,1,N/A,N/A,N/A,N/A,F,F,F,T,F,cloud,dead; relatively recently dead epicormic growth; forked at ground level,,
30/06/25,ALR,ALR_6,ALR-6-42,504,-34.567029,150.792211,WGS84,Eucalyptus globoidea,Eucalyptus globoidea,F,"Bark, habit, leaves on tree",2,0.99,0.315,2,1,1,3,0,N/A,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-43,505,-34.567118,150.792129,WGS84,N/A,N/A,F,"Bark, habit, leaves on tree",3,1.9,0.605,2,2,2,0,0,N/A,T,F,F,F,F,cloud,"species unclear; rough bark at base; smooth, greyish bark on trunk; rough bark on small branches; leaves longifolia-like; either longifolia, amplifolia, or tereticornis",,
30/06/25,ALR,ALR_6,ALR-6-44,506,-34.567087,150.792141,WGS84,Angophora floribunda,Angophora floribunda,F,"Bark, habit",2-,0.44,0.140,1,0,2,0,0,N/A,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-45,507,-34.567068,150.792146,WGS84,Angophora floribunda,Angophora floribunda,F,"Bark, habit",1+,0.26,0.083,2,0,1,0,0,N/A,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-46,508,-34.567066,150.792143,WGS84,Angophora floribunda,Angophora floribunda,F,"Bark, habit, leaves on tree",1+,0.25,0.080,2,1,2,0,0,N/A,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-47,509,-34.567063,150.792137,WGS84,Angophora floribunda,Angophora floribunda,F,"Bark, habit, leaves on tree",1,0.16,0.051,2,3,2,0,0,1,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-48,510,-34.567065,150.792137,WGS84,Angophora floribunda,Angophora floribunda,F,"Bark, habit",1,0.14,0.045,N/A,1,N/A,N/A,N/A,N/A,F,F,F,F,F,cloud,dead; relatively recently dead epicormic growth,,
30/06/25,ALR,ALR_6,ALR-6-49,511,-34.56702,150.792178,WGS84,N/A,Angophora floribunda,T,Leaves on tree,1,N/A,0.015,2,0,0,0,0,2,T,F,F,F,F,cloud,prob. floribunda,,
30/06/25,ALR,ALR_6,ALR-6-50,512,-34.567062,150.79238,WGS84,N/A,Eucalyptus longifolia,T,"Bark, habit, leaves on tree",1,0.12,0.038,1,0,3,0,0,2,T,F,F,F,F,cloud,prob. longifolia,,
30/06/25,ALR,ALR_6,ALR-6-51,513,-34.567092,150.792372,WGS84,Eucalyptus globoidea,Eucalyptus globoidea,F,Leaves on tree,1,N/A,0.015,2,2,2,0,0,1,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-52,514,-34.567098,150.792433,WGS84,N/A,Eucalyptus longifolia,T,Leaves on tree,1,0.07,0.022,1,0,1,0,0,1,T,F,F,F,F,cloud,prob. longifolia,,
30/06/25,ALR,ALR_6,ALR-6-53,515,-34.5671,150.792457,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,"Bark, habit",2,0.84,0.267,3,1,1,0,0,N/A,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-54,516,-34.567092,150.792488,WGS84,Eucalyptus eugenioides or globoidea,Eucalyptus eugenioides or globoidea,F,"Bark, habit",2,0.93,0.296,N/A,N/A,N/A,N/A,N/A,N/A,F,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-55,517,-34.567135,150.792466,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,"Bark, habit",3,2.4,0.764,2,1,1,0,0,N/A,T,F,F,T,F,cloud,3-forked at ground level,,
30/06/25,ALR,ALR_6,ALR-6-56,518,-34.567187,150.792479,WGS84,Eucalyptus longifolia,Eucalyptus longifolia,F,"Bark, habit",2,1.01,0.321,2,1,1,1,0,N/A,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-57,519,-34.567268,150.792556,WGS84,N/A,Eucalyptus longifolia,T,"Bark, habit, leaves on tree",1,0.13,0.041,2,1,1,0,0,N/A,T,F,F,F,F,cloud,prob. longifolia,,
30/06/25,ALR,ALR_6,ALR-6-58,520,-34.567368,150.792395,WGS84,N/A,Eucalyptus longifolia,T,"Bark, habit, leaves on tree",1,0.08,0.025,2,0,0,0,0,1,T,F,F,F,F,cloud,prob. longifolia,,
30/06/25,ALR,ALR_6,ALR-6-59,521,-34.567384,150.79235,WGS84,Eucalyptus globoidea,Eucalyptus globoidea,F,"Bark, habit, fruit on tree, leaves on tree",2-,0.29,0.092,1,1,1,2,0,N/A,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-60,522,-34.567352,150.792323,WGS84,N/A,Eucalyptus globoidea,T,Leaves on tree,1,0.1,0.032,2,1,1,0,0,1,T,F,F,F,T,cloud,forked below ground level; larger fork measured; prob. globoidea,,
30/06/25,ALR,ALR_6,ALR-6-61,523,-34.567334,150.792303,WGS84,N/A,N/A,F,N/A,1,0.09,0.029,2,0,0,0,0,1,T,F,F,F,T,cloud,forked below ground level; larger fork measured,,
30/06/25,ALR,ALR_6,ALR-6-62,524,-34.567374,150.792237,WGS84,Eucalyptus globoidea,Eucalyptus globoidea,F,"Bark, habit, fruit on tree",2,1.05,0.334,2,1,2,3,0,N/A,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-63,525,-34.567397,150.792224,WGS84,Eucalyptus eugenioides or globoidea,Eucalyptus eugenioides or globoidea,F,"Bark, habit",2,0.76,0.242,N/A,N/A,N/A,N/A,N/A,N/A,F,F,F,F,F,cloud,dead; cut at breast height,,
30/06/25,ALR,ALR_6,ALR-6-64,526,-34.567399,150.792239,WGS84,N/A,N/A,F,N/A,1,0.1,0.032,3,0,1,0,0,1,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-65,527,-34.567433,150.792238,WGS84,Eucalyptus globoidea,Eucalyptus globoidea,F,"Bark, habit, leaves on tree",2-,0.32,0.102,2,0,1,0,0,N/A,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-66,528,-34.56745,150.79225,WGS84,Eucalyptus globoidea,Eucalyptus globoidea,F,"Bark, habit, leaves on tree",1+,0.25,0.080,2,2,2,0,0,1,T,F,F,F,F,cloud,,,
30/06/25,ALR,ALR_6,ALR-6-67,529,-34.567459,150.792249,WGS84,Eucalyptus eugenioides or globoidea,Eucalyptus eugenioides or globoidea,F,"Bark, habit",1+,0.32,0.102,N/A,N/A,N/A,N/A,N/A,N/A,F,F,F,F,F,cloud,dead,,
30/06/25,ALR,ALR_6,ALR-6-68,530,-34.567453,150.79224,WGS84,Eucalyptus globoidea,Eucalyptus globoidea,F,"Bark, habit, leaves on tree",2-,0.49,0.156,2,3,1,0,0,N/A,T,F,F,F,F,cloud,died off; epicormic regrowth,,
30/06/25,ALR,ALR_6,ALR-6-69,531,-34.567278,150.792295,WGS84,Eucalyptus globoidea,Eucalyptus globoidea,F,"Bark, habit, leaves on tree",1,0.14,0.045,2,1,1,0,0,1,T,F,T,F,F,cloud,,,
04/07/25,RGR,RGR_2,RGR-2-1,532,-34.566912,150.826198,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,0.79,0.251,2,1,0,1,0,N/A,T,F,F,F,F,partly cloudy,,,
04/07/25,RGR,RGR_2,RGR-2-2,533,-34.566924,150.826173,WGS84,Eucalyptus tereticornis,Eucalyptus tereticornis,F,"Bark, habit, fruit on tree",2,1.4,0.446,2,2,1,1,0,N/A,T,F,F,T,F,partly cloudy,forked at ground level,,
04/07/25,RGR,RGR_2,RGR-2-3,534,-34.566969,150.826226,WGS84,Eucalyptus tereticornis,Eucalyptus tereticornis,F,"Bark, habit, fruit on tree",3,1.5,0.477,2,1,1,1,0,N/A,T,F,F,F,F,partly cloudy,,,
04/07/25,RGR,RGR_2,RGR-2-4,535,-34.567066,150.826267,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,1.37,0.436,2,1,1,0,0,N/A,T,F,F,F,F,partly cloudy,,,
04/07/25,RGR,RGR_2,RGR-2-5,536,-34.567096,150.826213,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,0.9,0.286,2,0,1,0,0,N/A,T,F,F,F,F,partly cloudy,,,
04/07/25,RGR,RGR_2,RGR-2-6,537,-34.567077,150.826198,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2-,0.3,0.095,1,1,1,0,0,N/A,T,F,F,F,F,partly cloudy,,,
04/07/25,RGR,RGR_2,RGR-2-7,538,-34.567098,150.826207,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,0.87,0.277,2,0,1,1,0,N/A,T,F,F,F,F,partly cloudy,,,
04/07/25,RGR,RGR_2,RGR-2-8,539,-34.567084,150.826196,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,1.11,0.353,1,1,1,0,0,N/A,T,F,F,F,F,partly cloudy,,,
04/07/25,RGR,RGR_2,RGR-2-9,540,-34.567103,150.826202,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,0.79,0.251,2,1,1,0,0,N/A,T,F,F,F,F,partly cloudy,,,
04/07/25,RGR,RGR_2,RGR-2-10,541,-34.567087,150.826153,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2-,0.45,0.143,2,1,2,0,0,N/A,T,F,F,F,F,partly cloudy,,,
04/07/25,RGR,RGR_2,RGR-2-11,542,-34.567064,150.826126,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2,0.9,0.286,3,1,1,0,0,N/A,T,F,F,F,F,partly cloudy,amplifolia? based on habit. can’t confirm without fruit/buds,,
04/07/25,RGR,RGR_2,RGR-2-12,543,-34.567066,150.826074,WGS84,Eucalyptus amplifolia or tereticornis,Eucalyptus amplifolia or tereticornis,F,"Bark, habit",2-,0.36,0.115,2,1,1,0,0,N/A,T,F,F,F,F,partly cloudy,,,
04/07/25,RGR,RGR_2,RGR-2-13,544,-34.567043,150.826058,WGS84,Eucalyptus tereticornis,Eucalyptus tereticornis,F,"Bark, habit, fruit on tree",2,0.97,0.309,2,1,1,2,0,N/A,T,F,F,F,F,partly cloudy,,,
